date,product,channel,campaign,source_url,target_url,utm_url,status,notes
2026-06-05,FormGuard,quora,shipsolo-coldstart,,https://formsuite.dev/formguard/google-forms-choice-limit.html,https://formsuite.dev/formguard/google-forms-choice-limit.html?utm_source=quora&utm_medium=answer&utm_campaign=shipsolo_coldstart,ready,Use for high-intent per-choice quota answers
2026-06-05,FormGuard,webapps-stackexchange,shipsolo-coldstart,,https://formsuite.dev/formguard/google-forms-choice-limit.html,https://formsuite.dev/formguard/google-forms-choice-limit.html?utm_source=webapps_stackexchange&utm_medium=answer&utm_campaign=shipsolo_coldstart,ready,Use only if answer allows relevant external resource
2026-06-05,FormGuard,indie-hackers,shipsolo-coldstart,,https://formsuite.dev/formguard/google-forms-choice-limit.html,https://formsuite.dev/formguard/google-forms-choice-limit.html?utm_source=indiehackers&utm_medium=community&utm_campaign=shipsolo_coldstart,ready,Use for maker feedback post or comment
2026-06-05,FormGuard,linkedin,shipsolo-coldstart,,https://formsuite.dev/formguard/google-forms-choice-limit.html,https://formsuite.dev/formguard/google-forms-choice-limit.html?utm_source=linkedin&utm_medium=social&utm_campaign=shipsolo_coldstart,ready,Use for short post
2026-06-05,FormRanger,quora,shipsolo-coldstart,,https://formsuite.dev/formranger/dynamic-google-forms-dropdown-guide.html,https://formsuite.dev/formranger/dynamic-google-forms-dropdown-guide.html?utm_source=quora&utm_medium=answer&utm_campaign=shipsolo_coldstart,ready,Use for Sheets to Forms dropdown answers
2026-06-05,FormRanger,webapps-stackexchange,shipsolo-coldstart,,https://formsuite.dev/formranger/dynamic-google-forms-dropdown-guide.html,https://formsuite.dev/formranger/dynamic-google-forms-dropdown-guide.html?utm_source=webapps_stackexchange&utm_medium=answer&utm_campaign=shipsolo_coldstart,ready,Use only where allowed and relevant
2026-06-05,FormRanger,indie-hackers,shipsolo-coldstart,,https://formsuite.dev/formranger/dynamic-google-forms-dropdown-guide.html,https://formsuite.dev/formranger/dynamic-google-forms-dropdown-guide.html?utm_source=indiehackers&utm_medium=community&utm_campaign=shipsolo_coldstart,ready,Use for maker feedback post or comment
2026-06-05,FormRanger,linkedin,shipsolo-coldstart,,https://formsuite.dev/formranger/dynamic-google-forms-dropdown-guide.html,https://formsuite.dev/formranger/dynamic-google-forms-dropdown-guide.html?utm_source=linkedin&utm_medium=social&utm_campaign=shipsolo_coldstart,ready,Use for short post
2026-06-05,FormSuite,producthunt,shipsolo-coldstart,,https://formsuite.dev/,https://formsuite.dev/?utm_source=producthunt&utm_medium=launch&utm_campaign=shipsolo_coldstart,draft,Only after Marketplace/listing confidence
2026-06-05,FormSuite,devto,shipsolo-coldstart,,https://formsuite.dev/,https://formsuite.dev/?utm_source=devto&utm_medium=article&utm_campaign=shipsolo_coldstart,draft,External article; do not add clutter pages to main site
